"Date","Country","Rating","Title","Review","Page"
"October 15, 2018","the United States","5","Best thing ever.","This is how it all begins.The end of man.Alexa took over my house.It¡¯s started on Black Friday 2019.Amazon offered a deal that couldn¡¯t be beat. Once I had SkyNet I mean Alexa hooked up and running it began.I got lazy, really lazy and I loved it.I was hooked.I ordered six more echos.I ordered smart light bulbs and Smart light switches, smart thermostat and smart plugs and Ring cams.It won¡¯t end.Now Alexa is everywhere. Listening.Judging me. Watching.Probably waiting for the right time to strike a blow in America¡¯s heartland.It¡¯s a slow process. But Alexa is patient.I¡¯m so lazy now I don¡¯t get up to turn the light off or change my thermostat. I can even see who¡¯s at the door from my couch.I¡¯m gaining weight slowly.And in a few decades I¡¯ll die, probably of heart disease.The calories I burned moving around and now being stored.My LDL is out of whack.All because I bought an Alexa enabled device On Black Friday 2019.I can hear my arteries clogging as we speak.In the end I was weak.I let the machines win.",2
"October 15, 2018","the United States","5","EXCELENTE","Alexa se ha convertido en una excelente herramienta para la administracion de todos los dispositivos en casa, a pesar que aun no viene en espanol con mi nivel ingles y los comandos claros que vienen en las instrucciones he sacado gran provecho. El sonido para su tamano es realmente bueno con relacion a la segunda generacion. Me encanta Alexa y todos sus dispositivos.",2
"October 15, 2018","the United States","5","Best Echo dot ever!","<U+00A0>This is a very good smart speaker. It has way better sound than the previous version!",2
"October 15, 2018","the United States","4","Con limitaciones para uso en espanol","El echo dot tiene una construccion y desempeno sobresalientes:Pequeno, con buen sonido, el anillo de luz da retroalimentacion util y puede usarse un parlante alternativo por cable o bluetooth; el asistente (Alexa) en espanol es competente y no tan mecanico como el de GoogleHome. Si bien el uso en espanol es posible y util, tiene limitaciones asociadas con restricciones asociadas a la tienda en que se compra (la de EEUU, Mexico o Espana dan acceso a conjuntos diferentes de skills de Alexa; por ejemplo en la de EEUU no es posible habilitar algunos servicios de noticias que si estan disponibles en la de Espana) y a la pobre oferta de interfaces en espanol o para mercados fuera de EEUUde algunas aplicaciones¡¦ limitando su valor (por ejemplo, no he podido hacer la integracion con Harmony Hub, pues al usar el Echo dot fuera de EEUU no se habilita el uso del skill).",2
"October 15, 2018","the United States","5","Almost returned it!","<U+00A0>I almost returned this to seller as I wasn't able to get it to connect to my wifi. After getting an error message from the app to scan I of course called the help line. I hung up on two of the Indonesia people I talked to as the first wanted me to purchase security software for my router. BS.. The second time I told them I was going to through it away and they hu g up on me and the third time i asked for someone who could speak English. He said there all busy but he did attempt to help me which led me to going to alexa.amazon.com and syncing it up there. After a few minutes of going through the links I got it to scan. Keep in mind I did restart my router before this but not sure if that had anything to do with fixing it. Anyway go to the link above and sign in with your amazon account and try that before the Alexa App on your phone. YOU WILL HAVE TO CONNECT YOUR WIFI ON YOUR COMPUTER TO Amazon Alexa Wifi. This is not permanent it's just to get your Alexa to connect on it's own. Kinda dumb and confusing. Don't expect Alexa to play Amazon music as it wont connect if it's not a paid service from what I gather. I have a free Pandora account which one can connect from the app then Alexa will let one play music from there once you give it permission to access your account. Plan on at least an hour to get the gist on how all this is done and once you get it working you'll feel pretty good about it and you'll be saying oh that so cool! That's cool too and so on. I'm about 30 feet away from mine in a bedroom and Alexa in the kitchen and she can hear my commands. The sound is pretty decent for such a small size hockey puck. You can get some free stuff such as woof woof for your dog and have a few giggle. (through the app.)Please don't contact me on how to connect it.",2
"October 15, 2018","the United States","2","Not ready for prime time","This is the epitome of a good idea marred by poor execution. A lot of the stock skills (Disney Stories, for instance, which is a large part of why I bought the thing) are clunky or glitchy, and have tons of bugs. It doesn't handle errors gracefully- and leaves me in the position of trying to explain a software bug to a 4 year old who doesn't understand and just wants a Puppy Dog Pals story before bed.I can't switch profiles and use FreeTime with another profile. The end result is that every time my kids ask it to play music, it cuts off my Spotify, which is hindering my ability to listen at work. On top of that, if they don't specify the song, it has some pretty weird choices for kids' music- most notable recently is ""Emotion"" by the Bee Gees.It's as strict as a regular Alexa at interpreting commands- ""Read me Disney Stories"" gets you the Disney Stories skill, but ""Read me a Disney story"" gets you the Disney Wikipedia entry read to you- and this isn't really ideal for children.Perhaps worst of all, the parental controls over skills is pretty spotty. For instance, it lets my kids control our Nest thermostat even in FreeTime, which is unfortunate because I accidentally let them overhear me doing it recently and all it took was one time hearing the command for them to start messing with the temperature. It lets them control our Master Bedroom lights from their room. It also lets them randomly drop in on other Echoes- awkward when Mommy and Daddy are enjoying some ""alone time"" or when Great Grandma can't figure out why she can hear them coming from her device.And you don't even want to hear about the time the trigger word was randomly changed on its own. That took thirty agonizing minutes of crying toddler tantrum to figure out (and I suspect I got it faster than most- I do software troubleshooting for a living!)Honestly, the best I can say is that the year of FreeTime that comes with it is nice- but in the end I wish I had not bought it. Now getting rid of it would feel like a punishment to them, so the tranquility of my home for the foreseeable future is at the dubious mercy of underpaid and overworked Amazon developers...Alexa, play Despacito.",2
"October 15, 2018","the United States","3","Really? A proprietary AC wall plug?","What could Amazon be thinking by giving the new Dot a HUGE, proprietary (kiss your micro USB plugins goodbye), AC adapter plug? This thing takes up a full outlet plug [15W adapter] and doesn't even have USB ports on the side to be useful. I'm sure Amazon heard all about inferior micro usb plugs being used with Alexa, and thus they went and made something universally worthless to ""fix"" the problem, rather than telling people to just use the better equipment they ALREADY OWN! Frankly, I don't care if the new one is ""new and improved"" when such a glaring step-down was taken with the actual, physical unit. I equally despise HP's proprietary power plugs for printers and laptops; what a scam! I'm sure Amazon is going to be more than happy to sell these plugs en-masse when they fail and Echo's are turned into non-working pieces of tech trash until you buy a new, expensive plug, rather than just pulling another Micro USB from your drawer! They could have at least went with USB-C; good grief.I'm going to go read if Google was as equally stupid with their Mini this year, and if not....",2
"October 15, 2018","the United States","5","Wow! What an upgrade! (Update included about ¡°Clock¡±)","Update: also bought a Dot 3 with Clock. It¡¯s all the things the regular Dot 3 is, with a digital clock. I was hoping it would be nice for a bedside clock, but not so much. It has a very responsive auto dimming feature- that¡¯s the good. But the level to which it dims is STILL too bright for my bedside. I won¡¯t change the starts for my original review since Amazon thinks this is the same product. But I will say that as a bedside clock, the display only gets 2 STARS <U+2B50><U+FE0F> <U+2B50><U+FE0F>.There is an opportunity for salvation though. This Dot has a touch response for dismissing alarms. I would like to be able to turn off the display in the app, and then show the clock momentarily with a tap. Make that happen, Amazon, and we¡¯ll be good.<U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014><U+2014>Original review:Dot 3 is a remarkable update to this device. I didn¡¯t expect much, but the sound on this is markedly better than previous incarnations. That said, temper your expectations. This is a small speaker. All things considered, this small puck delivers a well rounded and rich sound. It¡¯s much warmer, considerably louder, and landslides less ¡°tinny¡±. There will be audiophiles who will put this down, and they should since this is not intended to be the worlds best speaker. But, if you deploy a house-full of these things, you will have a robust all-over speaker system that can do all sorts of things.Now I¡¯m forced to consider the fate of my Gen2 Dots.Side note: the amount of people complaining about this thing is astonishing. I believe most are the type who would complain if their ice water was cold. I have a rather large Echo ecosystem in my home. In the first 30 minutes of setup, I knew this was an upgrade from Dot2. It¡¯s a no brainer. Short of an actual defective product (it happens), I can¡¯t understand where the problem is. Setup was fine- came mostly configured right out of the box. Sound quality is excellent FOR A 1.6¡± SPEAKER. If you want home automation control, with compatible devices that do not require a hub, this will take you there. If you want stadium rocking sound, you¡¯re an idiot for thinking this was even close. If you want whole home audio at a reasonable adult level, 6 of these would be amazing. All of the connection issues are most likely shitty home networks, and dots on different bands in said shitty networks. Yes, some networks will ¡®talk¡¯ across 2.4 ang 5GHz bands - but not all. Depends solely on your equipment/router and settings there in. Some routers, like Spectrum¡¯s Ubee, will not maintain an address lease for long connected devices like these. So it would appear that these need to be frequently restarted to maintain functionality when in fact it is the fault of the router. A nice, cheap TP-Link router (available here, of course) can fix all of that.Disclaimer: I work in technology. I¡¯m a manager of network administration. I understand these limitations and my expectations are appropriately calibrated.Honesty, theses are basically fancy tuna cans. What did you think it was gonna sound like? Still the best sounding tuna can I own!",2
"October 15, 2018","the United States","5","like","well hmm i said i would never have one of these or any other like listening device in our house and yet here i am reviewing one we got!! i wouldn't of ordered one myself before, this one came as a free add-on with the ring alarm system kit we bought on here and i honestly had no plan on using the echo 3 and was going to give it away but, curiosity got the best of me and well it only took a day to get hooked on this awesome no-hands device after trying it out. not having to stop doing what i am doing to go turn on music and skip songs or not having to remember to later write something down to buy on a list and just ask alexa to order it has been great since i forget to write things on a list later on 75% of the time. I haven't played around with everything this does, not really into all that game play/etc with alexa stuff. The music, shopping list/cart and phone messaging is all i care about really (am looking at them plugs to turn thing on & off with alexa too now) and there are some issues like everytime i say order/buy something, it gets added to cart and am told to go there instead of alexa ordering/checking out even though one click and all is turned on.. also we first set this up on my ipad and needed a phone number to set up a part in app, being new to this, we didn't realize it would become that ipad's phone number for messages/etc.. and installing app on phone afterwards resulted in us not being able to set up communication on it because cell phone number was already being used by ipad -anyhow sure others already described everything about this echo 3. i like it, music sounds great to me on it (although not older music) and i can unplug it anytime i want and it easily reconnects by itself within a minute when i plug it back in. i don't bother with that part anymore since i keep it in kitchen corner but, it is nice to know i can unplug it and not have to redo setup when i decide to get more echo's for other areas of our house.i will say i was suprise at how far/well this echo 3 can hear us, i told alexa to shut off when i was in opposite side of house in living room to see if alexa/echo could hear us there and yup she heard me.. will admit at first that bothered me but, now not so much.",2
"October 15, 2018","the United States","1","UNREAIBLE","I have two of these, one upstairs and one down. They were exceedingly difficult to hook up and are totaly unreiable, sometimes they work and the next second they will not. Even when they do work, the qulity of information is limited and inferior. The news reports do not change for many days. These have just been a frustrating horrible waste of money, do yourself a favor, pass these by until they can prefect them a bit more.",2
"October 15, 2018","the United States","1","It can't call 911, which makes it worthless.","I called Amazon before ordering. Couldn't get a straight answer. Now it's here, and it can't call 911. That's the only thing I cared about. Anything else it can do is worthless. If I'm not injured, my phone can already do everything this can except the smart home crap, and seriously, people are too lazy to push a button?? This could have been life saving tech and it isn't unless you have a landline or VOIP and yet another gadget to connect. I am so disgusted with this thing!I am looking into the VOIP thing and the connect gadget, but the level of complication, cost, and inconvenience makes this completely unsuitable for many seniors and leaves me wondering why this crippled tech is so popular in the first place. Clearly intended for people who love to talk out loud to inanimate things and get a kick out of telling a robot to play music...",3
"October 15, 2018","the United States","5","Modernize your bedroom experience","I replaced my decades-old alarm clock when I saw the Echo Dot now has a visual display of the time. I mean, I've been using my Gen 1 Echo Dot in our kitchen for a timer and all other fun Alexa-enabled skills, so adding this to my bedroom was a natural. Setting the old alarm clock was a chore, but now it's as easy as ""Alexa, wake me up at 5:05 a.m. tomorrow."" And, it's great to have her read me the news while I get dressed. The alarm possibilities are endless, but I chose a classic one. You can dim or brighten the clock display 1-10, or make it respond to the light conditions. I set up my bedside lamps with a smart plug and the Alexa app recognized them quickly. Suffice to say, my bedroom experience has been modernized, and I love it!",3
"October 15, 2018","the United States","1","Terrible Bedside Alarm Clock","The problems with using this device (Echo Dot with Clock) as a bedside alarm clock are:1. If the power (or WiFi / internet access) goes out, the alarm does not go off.The device does not have an integrated battery backup (like cheap dedicated alarm clocks... or a phone...).You could buy a small UPS power strip to overcome this, though.2. Even at the lowest 1% adaptive brightness setting, the clock way too bright... about twice as bright as our old-school Sony alarm clock3. When the alarm goes off, the top ring lights up at full BLINDING brightness (not dim-able or disable-able).And, if you have the escalating sound option turned on, the lights still light up right away, about 10 seconds before any audible-level sound can be heard, defeating the purpose of the escalating sound option.4. Turning off the alarm requires speech.You can tap the top of the device to ""snooze"", but there is no physical way to turn off the alarm without speaking to it.Some instructions online say that you can press the ""wake button"", but pressing the ""wake button"" and not also saying ""stop alarm"" only snoozes the alarm.",3
